text,label,source,source_label,mapping_confidence,is_event_specific
What are your fees for stage setup and coordination?,pricing_request,eventsense_event_templates,pricing_request,event_specific_template,True
can uhelp me to notify of errors with payment,payment_issue,hf_bitext_customer_support,payment_issue,public_mapped_high,False
all flights from denver to philadelphia,availability_question,hf_atis,flight,weak_domain_mapped,False
I need to check the withdrawal charge,cancellation_request,hf_bitext_customer_support,check_cancellation_fee,public_mapped_high,False
I did not authorize Capital One Auto to access my credit file or solicit any finance offer to me in 2021. Capital One Auto has used my credit report and gotten access to my credit file without my permission. My credit was frozen. I did not file any application with Capital One Auto. I received a phone call from Capital One Auto soliciting asking me if I wanted to get a loan with them for another vehicle and i declined their offer. I did not authorize XXXX to access my credit file. I did not authorize XXXX XXXX XXXX to pull my credit file. I have never applied for anything with these companies.,complaint,hf_hpe_customer_complaints,"improper use of your report reporting company used your report improperly credit reporting, credit repair services, or o",public_mapped_high,False
help me speaking with a person,human_escalation,hf_bitext_customer_support,contact_human_agent,public_mapped_high,False
I want help to cancel my company newsletter subscription,other,hf_bitext_customer_support,newsletter_subscription,public_mapped_medium,False
open standard account for wife,service_question,hf_bitext_customer_support,create_account,public_mapped_high,False
I want somebody,human_escalation,hf_bitext_customer_support,contact_human_agent,public_mapped_high,False
"Urgent, we need to change the lighting before June 14.",urgent_change,eventsense_event_templates,urgent_change,event_specific_template,True
Can you quote me for 250 guests?,pricing_request,eventsense_event_templates,pricing_request,event_specific_template,True
list the flights on sunday afternoon from oakland to dallas,availability_question,hf_atis,flight,weak_domain_mapped,False
I need help with cancellng order,cancellation_request,hf_bitext_customer_support,cancel_order,public_mapped_high,False
"I have got to modify purchase , I need help",urgent_change,hf_bitext_customer_support,change_order,public_mapped_medium,False
Please transfer me to the event coordinator.,human_escalation,eventsense_event_templates,human_escalation,event_specific_template,True
Can we add 50 more guests to the wedding?,guest_count_change,eventsense_event_templates,guest_count_change,event_specific_template,True
Can we check if the stage setup team is free on the 25th?,availability_question,eventsense_event_templates,availability_question,event_specific_template,True
We need to change the guest count from 250 to 90.,guest_count_change,eventsense_event_templates,guest_count_change,event_specific_template,True
Can I keep using my card after it expires?,payment_issue,hf_banking77,card_about_to_expire,public_mapped_medium,False
I have got to earn some of your article,booking_inquiry,hf_bitext_customer_support,place_order,public_mapped_medium,False
how to speak with somebody,human_escalation,hf_bitext_customer_support,contact_human_agent,public_mapped_high,False
I am trying to purchase several items,booking_inquiry,hf_bitext_customer_support,place_order,public_mapped_medium,False
can you list all the airlines that have flights from boston to san francisco,service_question,hf_atis,airline,weak_domain_mapped,False
how to see how long it takes for my order to arrive?,service_question,hf_bitext_customer_support,delivery_period,public_mapped_high,False
